state,district,year,quarter,transaction_type,transaction_count,transaction_amount
,,2020,2,Insurance,185348.0,33732166.0
,,2020,3,Insurance,354284.0,89495076.0
,,2020,4,Insurance,248626.0,170979933.0
,,2021,1,Insurance,318119.0,206307024.0
,,2021,2,Insurance,363989.0,295066678.0
,,2021,3,Insurance,374867.0,342403352.0
,,2021,4,Insurance,526327.0,655431877.0
,,2022,1,Insurance,617606.0,887447241.0
,,2022,2,Insurance,630758.0,857034846.0
,,2022,3,Insurance,806491.0,1054717869.0
,,2022,4,Insurance,1035364.0,1439762739.0
,,2023,1,Insurance,923173.0,1408801224.0
,,2023,2,Insurance,893850.0,1347399873.0
,,2023,3,Insurance,1010211.0,1445234680.0
,,2023,4,Insurance,1159063.0,1855299766.0
,,2024,1,Insurance,1273789.0,1931955654.0
,,2024,2,Insurance,1105041.0,1759627894.0
,,2024,3,Insurance,1213629.0,1941265641.0
,,2024,4,Insurance,1475429.0,2293956286.0
Andaman & Nicobar Islands,,2020,2,Insurance,6.0,1360.0
Andaman & Nicobar Islands,,2020,3,Insurance,41.0,15380.0
Andaman & Nicobar Islands,,2020,4,Insurance,124.0,157975.0
Andaman & Nicobar Islands,,2021,1,Insurance,225.0,244266.0
Andaman & Nicobar Islands,,2021,2,Insurance,137.0,181504.0
Andaman & Nicobar Islands,,2021,3,Insurance,230.0,305235.0
Andaman & Nicobar Islands,,2021,4,Insurance,757.0,1056380.0
Andaman & Nicobar Islands,,2022,1,Insurance,768.0,1131287.0
Andaman & Nicobar Islands,,2022,2,Insurance,501.0,779740.0
Andaman & Nicobar Islands,,2022,3,Insurance,643.0,902466.0
Andaman & Nicobar Islands,,2022,4,Insurance,901.0,1441210.0
Andaman & Nicobar Islands,,2023,1,Insurance,1004.0,1439198.0
Andaman & Nicobar Islands,,2023,2,Insurance,768.0,1233395.0
Andaman & Nicobar Islands,,2023,3,Insurance,795.0,1251145.0
Andaman & Nicobar Islands,,2023,4,Insurance,1145.0,1757821.0
Andaman & Nicobar Islands,,2024,1,Insurance,1371.0,1964556.0
Andaman & Nicobar Islands,,2024,2,Insurance,1097.0,1744694.0
Andaman & Nicobar Islands,,2024,3,Insurance,1191.0,1752800.0
Andaman & Nicobar Islands,,2024,4,Insurance,1293.0,2026380.0
Andhra Pradesh,,2020,2,Insurance,22104.0,3982391.0
Andhra Pradesh,,2020,3,Insurance,49812.0,12426481.0
Andhra Pradesh,,2020,4,Insurance,21464.0,12985632.0
Andhra Pradesh,,2021,1,Insurance,22105.0,12749874.0
Andhra Pradesh,,2021,2,Insurance,33205.0,22730687.0
Andhra Pradesh,,2021,3,Insurance,23075.0,19914338.0
Andhra Pradesh,,2021,4,Insurance,25423.0,31610335.0
Andhra Pradesh,,2022,1,Insurance,29954.0,42648157.0
Andhra Pradesh,,2022,2,Insurance,32185.0,41708072.0
Andhra Pradesh,,2022,3,Insurance,39301.0,48791931.0
Andhra Pradesh,,2022,4,Insurance,44329.0,58043239.0
Andhra Pradesh,,2023,1,Insurance,34920.0,51963355.0
Andhra Pradesh,,2023,2,Insurance,36376.0,52067478.0
Andhra Pradesh,,2023,3,Insurance,43150.0,57802396.0
Andhra Pradesh,,2023,4,Insurance,41798.0,62342423.0
Andhra Pradesh,,2024,1,Insurance,46582.0,63563802.0
Andhra Pradesh,,2024,2,Insurance,42547.0,62948281.0
Andhra Pradesh,,2024,3,Insurance,48014.0,73915199.0
Andhra Pradesh,,2024,4,Insurance,61425.0,80028914.0
Arunachal Pradesh,,2020,2,Insurance,65.0,14329.0
Arunachal Pradesh,,2020,3,Insurance,135.0,39687.0
Arunachal Pradesh,,2020,4,Insurance,125.0,84247.0
Arunachal Pradesh,,2021,1,Insurance,194.0,131611.0
